algo,env_steps,pi_optimal
reinforce,2000,0.290000
reinforce,4000,0.220000
reinforce,6000,0.310000
reinforce,8000,0.300000
reinforce,10000,0.250000
reinforce,12000,0.290000
reinforce,14000,0.270000
reinforce,16000,0.360000
reinforce,18000,0.310000
reinforce,20000,0.300000
reinforce,22000,0.330000
reinforce,24000,0.370000
reinforce,26000,0.340000
reinforce,28000,0.430000
reinforce,30000,0.500000
reinforce,32000,0.370000
reinforce,34000,0.430000
reinforce,36000,0.460000
reinforce,38000,0.510000
reinforce,40000,0.510000
reinforce,42000,0.440000
reinforce,44000,0.540000
reinforce,46000,0.560000
reinforce,48000,0.560000
reinforce,50000,0.520000
reinforce,52000,0.570000
reinforce,54000,0.570000
reinforce,56000,0.600000
reinforce,58000,0.580000
reinforce,60000,0.590000
trpo,2000,0.800000
trpo,4000,0.990000
trpo,6000,1.000000
trpo,8000,1.000000
trpo,10000,1.000000
trpo,12000,1.000000
trpo,14000,1.000000
trpo,16000,1.000000
trpo,18000,1.000000
trpo,20000,1.000000
trpo,22000,1.000000
trpo,24000,1.000000
trpo,26000,1.000000
trpo,28000,1.000000
trpo,30000,1.000000
trpo,32000,1.000000
trpo,34000,1.000000
trpo,36000,1.000000
trpo,38000,1.000000
trpo,40000,1.000000
trpo,42000,1.000000
trpo,44000,1.000000
trpo,46000,1.000000
trpo,48000,1.000000
trpo,50000,1.000000
trpo,52000,1.000000
trpo,54000,1.000000
trpo,56000,1.000000
trpo,58000,1.000000
trpo,60000,1.000000
cleanba_ppo,2000,0.290000
cleanba_ppo,4000,0.300000
cleanba_ppo,6000,0.270000
cleanba_ppo,8000,0.240000
cleanba_ppo,10000,0.270000
cleanba_ppo,12000,0.290000
cleanba_ppo,14000,0.280000
cleanba_ppo,16000,0.280000
cleanba_ppo,18000,0.310000
cleanba_ppo,20000,0.220000
cleanba_ppo,22000,0.280000
cleanba_ppo,24000,0.300000
cleanba_ppo,26000,0.230000
cleanba_ppo,28000,0.300000
cleanba_ppo,30000,0.330000
cleanba_ppo,32000,0.350000
cleanba_ppo,34000,0.290000
cleanba_ppo,36000,0.370000
cleanba_ppo,38000,0.340000
cleanba_ppo,40000,0.340000
cleanba_ppo,42000,0.360000
cleanba_ppo,44000,0.310000
cleanba_ppo,46000,0.270000
cleanba_ppo,48000,0.290000
cleanba_ppo,50000,0.310000
cleanba_ppo,52000,0.380000
cleanba_ppo,54000,0.360000
cleanba_ppo,56000,0.360000
cleanba_ppo,58000,0.360000
cleanba_ppo,60000,0.380000
pc_reinforce,2000,0.280000
pc_reinforce,4000,0.315000
pc_reinforce,6000,0.415000
pc_reinforce,8000,0.515000
pc_reinforce,10000,0.545000
pc_reinforce,12000,0.555000
pc_reinforce,14000,0.770000
pc_reinforce,16000,0.755000
pc_reinforce,18000,0.750000
pc_reinforce,20000,0.890000
pc_reinforce,22000,0.880000
pc_reinforce,24000,0.940000
pc_reinforce,26000,0.920000
pc_reinforce,28000,0.970000
pc_reinforce,30000,0.980000
pc_reinforce,32000,0.975000
pc_reinforce,34000,0.975000
pc_reinforce,36000,0.990000
pc_reinforce,38000,0.990000
pc_reinforce,40000,0.990000
pc_reinforce,42000,0.990000
pc_reinforce,44000,1.000000
pc_reinforce,46000,1.000000
pc_reinforce,48000,1.000000
pc_reinforce,50000,1.000000
pc_reinforce,52000,0.995000
pc_reinforce,54000,1.000000
pc_reinforce,56000,1.000000
pc_reinforce,58000,1.000000
pc_reinforce,60000,1.000000
pc_actor_critic,2000,0.335000
pc_actor_critic,4000,0.385000
pc_actor_critic,6000,0.440000
pc_actor_critic,8000,0.580000
pc_actor_critic,10000,0.645000
pc_actor_critic,12000,0.765000
pc_actor_critic,14000,0.805000
pc_actor_critic,16000,0.885000
pc_actor_critic,18000,0.890000
pc_actor_critic,20000,0.915000
pc_actor_critic,22000,0.970000
pc_actor_critic,24000,0.970000
pc_actor_critic,26000,0.980000
pc_actor_critic,28000,1.000000
pc_actor_critic,30000,0.990000
pc_actor_critic,32000,0.980000
pc_actor_critic,34000,0.995000
pc_actor_critic,36000,1.000000
pc_actor_critic,38000,0.995000
pc_actor_critic,40000,0.995000
pc_actor_critic,42000,1.000000
pc_actor_critic,44000,1.000000
pc_actor_critic,46000,1.000000
pc_actor_critic,48000,1.000000
pc_actor_critic,50000,0.995000
pc_actor_critic,52000,1.000000
pc_actor_critic,54000,1.000000
pc_actor_critic,56000,1.000000
pc_actor_critic,58000,1.000000
pc_actor_critic,60000,1.000000
